Date,Open,High,Low,Close,Volume,MACD,RSI,MA,EMA,SMA,STD,Upper,Lower,PatternClass
2000-01-03,4.074999809265137,4.478125095367432,3.9523439407348633,4.46875,322352000,,,,,,,,,6
2000-01-06,3.565624952316284,3.634375095367432,3.200000047683716,3.278125047683716,375040000,,0.0,3.3828125,3.4362847540113663,3.3828125,0.1046874523162841,3.5921874046325684,3.173437595367432,4
2000-01-07,3.3499999046325684,3.525000095367432,3.309375047683716,3.478125095367432,210108000,,36.36364424524216,3.3781250715255737,3.46417831491541,3.3781250715255737,0.1000000238418667,3.5781251192093078,3.17812502384184,6
2000-01-10,3.628124952316284,3.631249904632568,3.278125047683716,3.4593749046325684,295158000,,34.042538512944745,3.46875,3.460976041393516,3.46875,0.0093750953675263,3.487500190735053,3.449999809264947,4
2000-01-12,3.393749952316284,3.400000095367432,3.150000095367432,3.1781249046325684,216090000,,8.510636139262463,3.2578125,3.24496951776931,3.2578125,0.0796875953674427,3.417187690734885,3.0984373092651145,4
2000-01-19,3.206249952316284,3.375,3.150000095367432,3.340625047683716,164910000,,78.61506019196,3.2734375,3.299011997612193,3.2734375,0.0671875476837158,3.407812595367432,3.1390624046325684,6
2000-01-20,3.346874952316284,3.3499999046325684,3.196875095367432,3.237499952316284,119560000,,37.880268067457,3.2890625,3.2580039674149206,3.2890625,0.0515625476837158,3.392187595367432,3.1859374046325684,4
2000-01-21,3.231250047683716,3.231250047683716,3.0,3.103125095367432,229238000,,16.1169254837575,3.170312523841858,3.154751386049928,3.170312523841858,0.0671874284744395,3.304687380790737,3.0359376668929787,4
2000-01-25,3.5,3.5625,3.299999952316284,3.462500095367432,188682000,,69.45274367117126,3.484375,3.438027974168851,3.484375,0.0218749046326089,3.528124809265218,3.440625190734782,4
2000-01-28,3.25,3.321875095367432,3.0,3.0843749046325684,275558000,,19.43406144002413,3.2156249284744263,3.1673805844710343,3.2156249284744263,0.1312500238418579,3.478124976158142,2.9531248807907104,4
2000-01-31,3.018749952316284,3.237499952316284,2.921875,3.228125095367432,213958000,,52.68675677661524,3.15625,3.207876925068633,3.15625,0.0718750953674439,3.300000190734888,3.012499809265112,6
2000-02-03,4.056250095367432,4.296875,3.868750095367432,4.209374904632568,875000000,,97.62414307182628,3.8406249284744254,3.9463564821377775,3.8406249284744254,0.3687499761581421,4.5781248807907104,3.103124976158142,6
2000-02-04,4.137499809265137,4.137499809265137,3.893749952316284,3.928124904632568,220460000,,59.208876442435695,4.068749904632568,3.934202097134305,4.068749904632568,0.140625,4.349999904632568,3.787499904632568,4
2000-02-07,3.809375047683716,3.84375,3.65625,3.75,202580000,,39.513804447689296,3.839062452316284,3.811400699044768,3.839062452316284,0.0890624523162841,4.0171873569488525,3.660937547683716,4
2000-02-08,3.700000047683716,4.199999809265137,3.671875,4.15625,389456000,,75.97173090720892,3.953125,4.041300233014923,3.953125,0.2031250000000043,4.359375000000009,3.546874999999991,6
2000-02-14,3.784374952316284,3.787499904632568,3.678124904632568,3.721874952316284,103394000,,16.132553647088134,3.765625,3.75892035087696,3.765625,0.0437500476837158,3.853125095367432,3.678124904632568,4
2000-02-16,3.637500047683716,3.671875,3.53125,3.534374952316284,85204000,,3.612578955923277,3.612499952316284,3.5940466632674704,3.612499952316284,0.078125,3.768749952316284,3.456249952316284,4
