Date,Open,High,Low,Close,Adj Close,Volume,MACD,RSI,MA,EMA,SMA,STD,Upper,Lower,numeric_classes
6/29/2018,46.572498,46.797501,45.727501,46.2775,44.226269,90950800,-0.291644018,32.25057929,47.135125,46.71907761,47.135125,0.926624115,48.98837323,45.28187677,0
07-02-2018,45.955002,46.825001,45.855,46.794998,44.720825,70925200,-0.246825654,36.03500903,47.0769999,46.72630812,47.0769999,0.908608767,48.89421743,45.25978237,4
07-03-2018,46.947498,46.987499,45.884998,45.98,43.94194,55819200,-0.273912809,32.99897633,46.95962495,46.65523116,46.95962495,0.890001512,48.73962797,45.17962193,0
07-05-2018,46.314999,46.602501,46.07,46.349998,44.295555,66416800,-0.262497916,37.33577587,46.8523749,46.62616134,46.8523749,0.821877543,48.49612999,45.20861981,3
07-06-2018,46.355,47.107498,46.299999,46.9925,44.909569,69940800,-0.199309473,48.01642029,46.7837498,46.66105073,46.7837498,0.742385112,48.26852002,45.29897958,0
07-09-2018,47.375,47.669998,47.325001,47.645,45.533146,79026400,-0.095480244,53.76431938,46.76974985,46.75476019,46.76974985,0.722093434,48.21393672,45.32556298,0
07-10-2018,47.677502,47.82,47.544998,47.587502,45.478199,63756400,-0.017631198,60.77709345,46.75875,46.83406893,46.75875,0.70697037,48.17269074,45.34480926,0
07-11-2018,47.125,47.445,46.9025,46.970001,44.888065,75326000,-0.005696769,52.96393172,46.70375005,46.84701484,46.70375005,0.639122981,47.98199601,45.42550409,0
07-12-2018,47.3825,47.852501,47.327499,47.7575,45.640663,72164400,0.06653892,60.96888691,46.7078751,46.93372771,46.7078751,0.645951343,47.99977779,45.41597241,0
7/13/2018,47.77,47.959999,47.724998,47.8325,45.712341,50055600,0.128358461,62.74356309,46.71450005,47.01932507,46.71450005,0.657243013,48.02898608,45.40001402,3
7/16/2018,47.880001,48.162498,47.605,47.727501,45.611996,60172400,0.166953811,69.14992094,46.74037515,47.0867704,46.74037515,0.687277638,48.11493043,45.36581987,4
7/17/2018,47.4375,47.967499,47.299999,47.862499,45.741005,62138000,0.206058797,66.63512157,46.77425005,47.16064932,46.77425005,0.725954185,48.22615842,45.32234168,0
7/18/2018,47.945,47.950001,47.482498,47.599998,45.490147,65573600,0.213408108,64.25959385,46.8331249,47.20249205,46.8331249,0.743462292,48.32004948,45.34620032,0
7/19/2018,47.422501,48.137501,47.422501,47.970001,45.843739,81147200,0.246250022,64.48685239,46.90037495,47.27558814,46.90037495,0.783403752,48.46718245,45.33356745,4
7/20/2018,47.945,48.107498,47.5425,47.860001,45.738625,82704800,0.26039967,64.34075609,46.9751249,47.33124651,46.9751249,0.800763261,48.57665142,45.37359838,2
7/23/2018,47.669998,47.990002,47.389999,47.9025,45.779243,63957600,0.271908292,60.98168447,47.0587499,47.3856516,47.0587499,0.806165871,48.67108164,45.44641816,0
7/24/2018,48.112499,48.415001,48.012501,48.25,46.111332,74791600,0.305547147,74.80875401,47.1941249,47.4679705,47.1941249,0.764395188,48.72291528,45.66533452,0
7/25/2018,48.264999,48.712502,48.107498,48.705002,46.546162,66839600,0.364716812,75.26827242,47.3240001,47.58578302,47.3240001,0.790281106,48.90456231,45.74343789,0
7/26/2018,48.6525,48.990002,48.4025,48.552502,46.400421,76304000,0.394753252,68.70505995,47.44962515,47.67785149,47.44962515,0.774979472,48.99958409,45.89966621,2
7/27/2018,48.747501,48.797501,47.525002,47.744999,45.628716,96096000,0.34937127,51.156057,47.5181251,47.68424649,47.5181251,0.734483424,48.98709195,46.04915825,0
7/30/2018,47.974998,48.049999,47.267502,47.477501,45.37307,84118000,0.288495275,48.78720036,47.57812515,47.66455645,47.57812515,0.674355508,48.92683617,46.22941413,0
7/31/2018,47.575001,48.035,47.334999,47.572498,45.463871,157492000,0.24509082,57.50775265,47.61700015,47.65578898,47.61700015,0.648758729,48.91451761,46.31948269,3
08-01-2018,49.782501,50.439999,49.327499,50.375,48.142147,271742800,0.431852836,71.71297496,47.83675015,47.91476145,47.83675015,0.793322869,49.42339589,46.25010441,0
